N,M,CPU1,CPU2,GPU1,GPU2,CPU1/GPU1,CPU2/GPU1,CPU1/GPU2,CPU2/GPU2,GPU1/GPU2
4096.0,16.0,592.11,1.72,50.3,3.28,11.77,0.03,180.52,0.52,15.34
4096.0,32.0,587.3,2.46,51.5,3.26,11.4,0.05,180.15,0.75,15.8
4096.0,64.0,584.53,3.79,50.63,3.29,11.55,0.07,177.67,1.15,15.39
4096.0,128.0,587.66,6.58,51.38,3.32,11.44,0.13,177.01,1.98,15.48
4096.0,1024.0,616.83,44.44,52.07,3.96,11.85,0.85,155.77,11.22,13.15
4096.0,2048.0,644.77,88.2,54.54,4.6,11.82,1.62,140.17,19.17,11.86
4096.0,4096.0,711.55,176.88,55.58,6.08,12.8,3.18,117.03,29.09,9.14
4096.0,8192.0,853.65,354.15,63.96,10.23,13.35,5.54,83.45,34.62,6.25
8192.0,16.0,4728.13,7.09,376.88,12.88,12.55,0.02,367.09,0.55,29.26
8192.0,32.0,4719.36,10.11,383.9,12.89,12.29,0.03,366.13,0.78,29.78
8192.0,64.0,4712.47,15.55,379.61,13.03,12.41,0.04,361.66,1.19,29.13
8192.0,128.0,4673.14,26.47,376.81,13.28,12.4,0.07,351.89,1.99,28.37
8192.0,1024.0,4797.37,177.74,388.34,17.77,12.35,0.46,269.97,10.0,21.85
8192.0,2048.0,4933.78,352.04,392.0,20.89,12.59,0.9,236.18,16.85,18.76
8192.0,4096.0,5164.47,711.68,406.25,26.48,12.71,1.75,195.03,26.88,15.34
8192.0,8192.0,5708.77,1419.42,442.75,49.65,12.89,3.21,114.98,28.59,8.92
12288.0,16.0,,15.93,1313.09,29.05,,0.01,,0.55,45.2
12288.0,32.0,,22.98,1346.87,29.15,,0.02,,0.79,46.2
12288.0,64.0,,34.66,1326.61,29.52,,0.03,,1.17,44.94
12288.0,128.0,,60.45,1333.09,29.98,,0.05,,2.02,44.47
12288.0,1024.0,,401.42,1352.19,38.67,,0.3,,10.38,34.97
12288.0,2048.0,,792.33,1360.19,48.52,,0.58,,16.33,28.03
12288.0,4096.0,,1601.8,1402.28,67.39,,1.14,,23.77,20.81
12288.0,8192.0,,3201.97,,129.24,,,,24.78,
16384.0,16.0,,28.32,,51.56,,,,0.55,
16384.0,32.0,,40.75,,52.35,,,,0.78,
16384.0,64.0,,62.99,,52.58,,,,1.2,
16384.0,128.0,,106.15,,53.78,,,,1.97,
16384.0,1024.0,,712.0,,75.64,,,,9.41,
16384.0,2048.0,,1409.08,,96.39,,,,14.62,
16384.0,4096.0,,2832.77,,136.03,,,,20.82,
16384.0,8192.0,,5676.85,,281.29,,,,20.18,
